datafile,formula,M+0,M+1,M+2
128_0d_zic300up_13CGlc,C10H17N2O14P3,NF,305,281
128_0d_zic300up_D3Ser,C10H17N2O14P3,NF,334,NF
128_4d_zic300up_13CGlc,C10H17N2O14P3,102129,59446,0
128_4d_zic300up_D3Ser,C10H17N2O14P3,1022309,3843751,475920
129_0d_zic300up_13CGlc,C10H17N2O14P3,NF,239,NF
129_0d_zic300up_D3Ser,C10H17N2O14P3,NF,156,NF
129_4d_zic300up_13CGlc,C10H17N2O14P3,34895,4231,197
129_4d_zic300up_D3Ser,C10H17N2O14P3,210196,1019005,135774
130_0d_zic300up_13CGlc,C10H17N2O14P3,NF,868,NF
130_0d_zic300up_D3Ser,C10H17N2O14P3,NF,147,NF
130_4d_zic300up_13CGlc,C10H17N2O14P3,37516,8921,NF
130_4d_zic300up_D3Ser,C10H17N2O14P3,352761,1858151,221214